RISK,MAX_POS,FinalAsset,TotalReturn,CAGR,MaxDD
0.06,5,4270514.658036275,0.4235048860120916,0.032655891988613295,-0.08405012018458158
0.06,10,5610842.867067606,0.8702809556892022,0.0586281928226724,-0.15881635427399554
0.06,15,5610842.867067606,0.8702809556892022,0.0586281928226724,-0.15881635427399554
0.06,20,5610842.867067606,0.8702809556892022,0.0586281928226724,-0.15881635427399554
0.08,5,4759658.044479755,0.5865526814932516,0.04289673854612719,-0.11048912907401898
0.08,10,6735558.878341855,1.2451862927806183,0.07637568643387849,-0.20649163711111773
0.08,15,6735558.878341855,1.2451862927806183,0.07637568643387849,-0.20649163711111773
0.08,20,6735558.878341855,1.2451862927806183,0.07637568643387849,-0.20649163711111773
0.1,5,5282188.50936421,0.7607295031214034,0.05282931541664526,-0.13618666926193534
0.1,10,7994066.352121143,1.664688784040381,0.09328584396462758,-0.25181443761211686
0.1,15,7994066.352121143,1.664688784040381,0.09328584396462758,-0.25181443761211686
0.1,20,7994066.352121143,1.664688784040381,0.09328584396462758,-0.25181443761211686
0.12,5,5838141.434977218,0.9460471449924059,0.06246072149052018,-0.1611687869008207
0.12,10,9387073.719323587,2.1290245731078623,0.10938449835182862,-0.29492385850194625
0.12,15,9387073.719323587,2.1290245731078623,0.10938449835182862,-0.29492385850194625
0.12,20,9387073.719323587,2.1290245731078623,0.10938449835182862,-0.29492385850194625
0.15,5,6734269.458507255,1.2447564861690847,0.07635693378677222,-0.19735407701833385
0.15,10,11723932.76558833,2.907977588529443,0.13205490372039708,-0.3557075457809119
0.15,15,11723932.76558833,2.907977588529443,0.13205490372039708,-0.3557075457809119
0.15,20,11723932.76558833,2.907977588529443,0.13205490372039708,-0.3557075457809119
