Date,0
2013-01-04,3000000.0
2013-01-07,3000000.0
2013-01-08,3000000.0
2013-01-09,3000000.0
2013-01-10,3000000.0
2013-01-11,3000000.0
2013-01-15,3000000.0
2013-01-16,3000000.0
2013-01-17,3000000.0
2013-01-18,3000000.0
2013-01-21,3000000.0
2013-01-22,3000000.0
2013-01-23,3000000.0
2013-01-24,3000000.0
2013-01-25,3000000.0
2013-01-28,3000000.0
2013-01-29,3000000.0
2013-01-30,3000000.0
2013-01-31,3000000.0
2013-02-01,3000000.0
2013-02-04,3000000.0
2013-02-05,3000000.0
2013-02-06,3000000.0
2013-02-07,3000000.0
2013-02-08,3000000.0
2013-02-12,3000000.0
2013-02-13,3000000.0
2013-02-14,3000000.0
2013-02-15,3000000.0
2013-02-18,3000000.0
2013-02-19,3000000.0
2013-02-20,3000000.0
2013-02-21,3000000.0
2013-02-22,3000000.0
2013-02-25,3000000.0
2013-02-26,3000000.0
2013-02-27,3000000.0
2013-02-28,3000000.0
2013-03-01,3000000.0
2013-03-04,3000000.0
2013-03-05,3000000.0
2013-03-06,3000000.0
2013-03-07,3000000.0
2013-03-08,3000000.0
2013-03-11,3000000.0
2013-03-12,3000000.0
2013-03-13,3000000.0
2013-03-14,3000000.0
2013-03-15,3000000.0
2013-03-18,3000000.0
2013-03-19,3000000.0
2013-03-21,3000000.0
2013-03-22,3000000.0
2013-03-25,3000000.0
2013-03-26,3000000.0
2013-03-27,3000000.0
2013-03-28,3000000.0
2013-03-29,3000000.0
2013-04-01,3000000.0
2013-04-02,3000000.0
2013-04-03,3000000.0
2013-04-04,3000000.0
2013-04-05,3000000.0
2013-04-08,3000000.0
2013-04-09,3000000.0
2013-04-10,3000000.0
2013-04-11,3000000.0
2013-04-12,3000000.0
2013-04-15,3000000.0
2013-04-16,3000000.0
2013-04-17,3000000.0
2013-04-18,3000000.0
2013-04-19,3000000.0
2013-04-22,3000000.0
2013-04-23,3000000.0
2013-04-24,3041947.964681088
2013-04-25,3043128.801826346
2013-04-26,3021728.8631462436
2013-04-30,3022467.476402173
2013-05-01,2993916.342870895
2013-05-02,2986248.278573136
2013-05-07,3060370.628634457
2013-05-08,3087375.664751865
2013-05-09,3080810.2352347905
2013-05-10,3145348.456814262
2013-05-13,3200595.702086948
2013-05-14,3203014.289543978
2013-05-15,3300715.4675010014
2013-05-16,3279769.5768392375
2013-05-17,3272170.9973235484
2013-05-20,3309545.1480410355
2013-05-21,3303566.5906280368
2013-05-22,3311548.730608125
2013-05-23,3158557.720120291
2013-05-24,3165968.5194248324
2013-05-27,3087921.24594556
2013-05-28,3123841.744500895
2013-05-29,3140056.586704566
2013-05-30,3086365.8193671945
2013-05-31,3098140.247458351
2013-06-03,3032840.663257436
2013-06-04,3073220.561622387
2013-06-05,3030134.3740143487
2013-06-06,3027954.3128913627
2013-06-07,3007656.1165330126
2013-06-10,3083031.5977923092
2013-06-11,3072232.6118864906
2013-06-12,3068586.924710707
2013-06-13,3003523.4553650804
2013-06-14,3005377.628616111
2013-06-17,3032696.0856961417
2013-06-18,3042810.291825709
2013-06-19,3060800.0327030513
2013-06-20,3048772.871670401
2013-06-21,3059971.7550406763
2013-06-24,3055676.301423597
2013-06-25,3041812.143525212
2013-06-26,3038251.4662608
2013-06-27,3071803.7116289637
2013-06-28,3108912.259573969
2013-07-01,3124251.4899745593
2013-07-02,3138219.4002516596
2013-07-03,3125375.4569745576
2013-07-04,3122861.298183466
2013-07-05,3148412.5963039603
2013-07-08,3122494.6018706285
2013-07-09,3151639.5235729325
2013-07-10,3154191.1936745797
