Price,Close,High,Low,Open,Volume
Ticker,1860.T,1860.T,1860.T,1860.T,1860.T
Date,,,,,
2021-04-27,666.2207641601562,668.7539229592443,659.4656740292548,664.5319916274309,286500
2021-04-28,662.8430786132812,670.4425533999304,662.8430786132812,666.2206229629031,217900
2021-04-30,657.7767944335938,666.2206557228569,656.0880221757412,662.8431112071517,336500
2021-05-06,669.5982666015625,677.1977425150733,663.6875631132763,665.3763355385009,376700
2021-05-07,675.5089721679688,678.8865170288086,668.753882446289,669.598268661499,262800
2021-05-10,684.7971801757812,687.3303386721159,675.5089323558879,676.3533185213327,229400
2021-05-11,662.8430786132812,676.3532560117685,657.7767620888485,672.1313255747413,467300
2021-05-12,651.8660278320312,656.087958064104,640.8890092286422,655.2435720176894,605300
2021-05-13,643.4222412109375,656.088033360759,641.7334689242946,646.7997857842232,276000
2021-05-14,661.1543579101562,666.220674829008,653.5548825318785,656.0880409913044,411900
2021-05-17,652.7105712890625,664.5319787897699,645.1110950386077,661.1544337895677,553100
2021-05-18,679.7307739257812,680.5751599803474,663.6874388890236,663.6874388890236,470000
2021-05-19,675.5089721679688,678.8865170288086,664.5319513702392,665.3763375854492,351900
2021-05-20,688.1748046875,690.7079634777607,673.8202382093558,674.664624472776,330500
2021-05-21,689.863525390625,695.7742287905446,683.9528219907053,687.3303667906594,290000
2021-05-24,696.61865234375,705.0625147964015,695.7742660984849,696.61865234375,313000
2021-05-25,691.5523071289062,696.6186243972498,686.4859898605625,694.9298519744686,408900
2021-05-26,687.3303833007812,692.3967006224086,681.4196797588826,682.2640659791539,319500
2021-05-27,672.9757690429688,687.3303337527936,667.0650659271585,687.3303337527936,983700
2021-05-28,678.886474609375,687.3303362338697,672.9757714722288,680.575246934274,482700
2021-05-31,656.088134765625,671.2870876945584,651.8662033964767,671.2870876945584,474100
2021-06-01,655.2438354492188,657.7769946068832,648.4887443621134,657.7769946068832,393600
2021-06-02,656.9324951171875,661.1544263197401,646.7998602310612,651.8661776741244,405000
2021-06-03,656.9324951171875,660.3100400792296,651.8661776741244,651.8661776741244,229800
2021-06-04,651.8660278320312,658.6211162033477,651.0216417856167,656.9323441105186,247600
2021-06-07,654.3992309570312,656.9323892704133,651.0216865391885,653.5548448525706,323100
2021-06-08,665.3762817382812,665.3762817382812,648.4885588515228,648.4885588515228,448300
2021-06-09,674.6646118164062,678.0421568067262,669.5982943309264,671.2870668260863,312100
2021-06-10,671.2869873046875,672.9757595997936,663.68751197671,670.4426011571345,306700
2021-06-11,643.4222412109375,659.4655779340449,642.577855067616,658.6211917907234,845100
2021-06-14,640.88916015625,654.3993400804924,640.88916015625,653.5549538352273,376900
2021-06-15,645.1109619140625,647.6441201414738,640.04464545924,640.8890315350437,246700
2021-06-16,648.4885864257812,651.021744966507,643.4222693443298,646.7998140652975,262500
2021-06-17,637.5115966796875,646.7998451081332,637.5115966796875,641.7335277835265,238700
2021-06-18,634.1340942382812,640.0447981792506,632.4453216837186,635.8228667928439,459000
2021-06-21,620.6239013671875,622.3126738879146,613.0244250239158,621.468287627551,462400
2021-06-22,650.1773681640625,650.1773681640625,634.9784167004871,640.0447338550122,371400
2021-06-23,643.4222412109375,651.0217165008304,641.7334689242946,647.6441719275447,219000
2021-06-24,648.4885864257812,648.4885864257812,640.8891108036041,643.4222693443298,219400
2021-06-25,653.5549926757812,656.9325378575683,649.3330611985475,650.1774474939942,296800
2021-06-28,656.9324951171875,658.6212675982085,651.0217914336139,656.088108876677,236800
2021-06-29,650.1773681640625,655.2436853185877,644.2666648171165,648.4885957792208,368100
2021-06-30,645.9553833007812,654.3992445203993,645.9553833007812,649.3329277886285,456900
2021-07-01,642.5778198242188,653.5548390853421,640.0446615331903,651.866066891323,570800
