code,profit,factors,regime,entry_day,exit_day,entry,exit
8035.T,-0.0792206994221791,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",,,,,
7203.T,-0.0103445781754996,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",,,,,
2914.T,-0.0601093046218722,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",,,,,
7203.T,-0.0376432756117815,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",,,,,
8058.T,-0.07706433537292,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",,,,,
4063.T,-0.0182927725793412,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",,,,,
6501.T,-0.0543738060331423,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",,,,,
2914.T,-0.08717919646014,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",,,,,
8058.T,-0.0939718178394801,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",,,,,
8035.T,-0.0669695426853668,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",,,,,
7203.T,-0.0420561760463283,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",,,,,
8306.T,-0.0200001411699496,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",,,,,
6501.T,-0.0232287128435785,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",,,,,
7203.T,-0.0044715547502932,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",,,,,
4063.T,-0.0099170517873104,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",,,,,
4063.T,-0.0288922128259687,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
8035.T,-0.0792208485603395,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,,,,
7203.T,-0.010344844808153,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,,,,
2914.T,-0.060109228020538,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,,,,
7203.T,-0.0376435264052351,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,,,,
8058.T,-0.0770643847229628,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,,,,
4063.T,-0.0182925727117996,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,,,,
6501.T,-0.0543735086140804,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,,,,
2914.T,-0.0871792583597294,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,,,,
8058.T,-0.0939715310150787,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,,,,
