profit,winrate,trades
-0.0137820479034117,0.0,13
-0.0129525714655192,0.0,19
-0.01413427087831,0.0,20
-0.0113253919802282,0.0769230769230769,26
-0.0121828471830471,0.0666666666666666,30
-0.0137696530276649,0.0555555555555555,36
-0.0143427611316425,0.0454545454545454,44
-0.0133403515218168,0.0,7
-0.0117419350481012,0.0,13
-0.0147048788990572,0.0,16
-0.0146936368727477,0.0,20
-0.0152274754378855,0.0,23
-0.0149015723623571,0.0,25
-0.0149015723623571,0.0,25
-0.0203633613401212,0.0,9
-0.0182956924515912,0.0,13
-0.0198226255246627,0.0,15
-0.0184153845049697,0.0,18
-0.0173670256961274,0.0,21
-0.016212119350742,0.0,29
-0.0158885487044508,0.0,30
-0.0080872289259159,0.0,9
-0.0085410025442659,0.0,12
-0.0102743143599816,0.0,16
-0.0114093889199388,0.0,18
-0.0111325003316944,0.0,19
-0.0109086961720378,0.0,22
-0.0104603886461524,0.0,24
-0.0126705231365759,0.0,11
-0.0132527923405531,0.0,20
-0.0123373328651289,0.0,27
-0.0121201679419463,0.0,29
-0.0129174900452902,0.0,33
-0.0123183158053315,0.0,36
-0.0123183158053315,0.0,36
-0.0067246545761279,0.0,7
-0.0068253274108751,0.1,10
-0.0093119594946938,0.0833333333333333,12
-0.0103665949515255,0.0666666666666666,15
-0.0125083510448589,0.0526315789473684,19
-0.0121845234783467,0.0344827586206896,29
-0.0118032814126352,0.0333333333333333,30
-0.0137820479034117,0.0,13
-0.0129525714655192,0.0,19
-0.01413427087831,0.0,20
-0.0113253919802282,0.0769230769230769,26
-0.0121828471830471,0.0666666666666666,30
-0.0137696530276649,0.0555555555555555,36
-0.0143427611316425,0.0454545454545454,44
-0.0063197275279693,0.0,15
-0.0089031538281918,0.0,18
-0.011437379754473,0.0,24
-0.0113268590549699,0.0,28
-0.0115305039534111,0.0,29
-0.0115305039534111,0.0,29
-0.0115305039534111,0.0,29
-0.03272418469261391,0.0,4
-0.03272418469261391,0.0,4
-0.03735615410244418,0.0,9
-0.03229031588139167,0.0,13
-0.029758915012562455,0.0,16
-0.027642703580785553,0.0,19
-0.023858718213913152,0.0,23
-0.02401793184310894,0.0,24
