Price,Close,High,Low,Open,Volume
Ticker,3903.T,3903.T,3903.T,3903.T,3903.T
Date,,,,,
2014-12-18,3104.977294921875,3276.658503961789,3011.778924300207,3237.4170847526657,7049500
2014-12-19,3060.83056640625,3203.0807049091045,3060.83056640625,3198.175527719351,1882500
2014-12-22,3046.115234375,3085.356654463567,3001.9686367753625,3060.8307669082124,1398000
2014-12-24,2756.70947265625,3085.356331496052,2724.3353044720307,3051.0200925127892,1642700
2014-12-25,2845.0029296875,2926.4288756061424,2594.838878973599,2668.416540948276,2163600
2014-12-26,2776.33056640625,2913.6755414228137,2767.5012465837567,2894.0548307061617,471300
2014-12-29,2733.164794921875,2776.33035521497,2680.188880016713,2776.33035521497,367200
2014-12-30,2613.478515625,2743.956234310482,2610.535409188485,2743.956234310482,458500
2015-01-05,2751.804443359375,2776.330329663826,2615.440515506629,2620.3456927675193,449600
2015-01-06,2688.036865234375,2756.709339893647,2663.510981427492,2719.429996507185,285000
2015-01-07,2626.23193359375,2697.8475223693736,2623.2888272057107,2687.056132279896,178700
2015-01-08,2652.719970703125,2689.9993194038348,2631.1371898763987,2647.8147932425054,184400
2015-01-09,2629.175048828125,2686.075105855002,2619.3646941683182,2670.3785383993118,166200
2015-01-13,2621.326904296875,2668.4166091644834,2590.9148032365442,2612.497584634198,283000
2015-01-14,2590.91455078125,2641.928392750438,2590.91455078125,2609.554223808453,215400
2015-01-15,2556.578125,2603.6678218534153,2556.578125,2580.1229734267076,208500
2015-01-16,2463.380126953125,2549.711250478364,2432.9680266203704,2549.711250478364,464300
2015-01-19,2593.857421875,2708.6385558989696,2452.588333845499,2491.8297471870274,497200
2015-01-20,2700.790771484375,2713.544233173186,2570.3130480526925,2580.123403197932,301000
2015-01-21,2708.638916015625,2737.088944470697,2653.7009300334175,2736.1079090067287,267000
2015-01-22,2719.429931640625,2736.1075322314946,2627.212610726405,2712.562684338502,186900
2015-01-23,2653.70068359375,2719.430053575554,2632.1179053907695,2718.4490182026916,139300
2015-01-26,2638.9853515625,2678.2267694296006,2617.402571735595,2629.174997095725,118300
2015-01-27,2656.643798828125,2667.4351879666438,2624.269631412568,2648.795515818293,141900
2015-01-28,2743.9560546875,2785.1595421014704,2629.174911177154,2629.174911177154,271300
2015-01-29,2873.452880859375,2893.07359018583,2766.520015030194,2766.520015030194,984300
2015-01-30,2786.140625,2884.2441681338028,2759.652668353873,2805.7613336267605,583400
2015-02-02,2546.76806640625,2771.425187826524,2501.640435029252,2746.8993012085903,326400
2015-02-03,2444.740478515625,2599.7440883091517,2426.1008039202006,2550.692313058036,325400
2015-02-04,2430.02490234375,2498.6973864632746,2413.3472990575797,2437.873186243124,221800
2015-02-05,2359.390380859375,2425.1197594529626,2354.4852033523907,2417.271475441788,155300
2015-02-06,2299.546875,2382.9348802794366,2286.793415369027,2364.295208511092,160700
2015-02-09,2374.105712890625,2420.2143775624677,2317.2056586147337,2339.76947324138,199100
2015-02-10,2343.693603515625,2401.5746929285265,2329.959107722733,2344.674638929403,124000
2015-02-12,2332.90234375,2383.9161881044997,2315.2437053195963,2359.3903013956055,156900
2015-02-13,2296.603759765625,2319.167572868833,2290.7175476517446,2298.5658304702515,118100
2015-02-16,2305.43310546875,2314.262423745013,2286.793433552194,2290.717575008311,108300
2015-02-17,2342.712646484375,2392.7454542610512,2310.338476746526,2315.243653979533,199100
2015-02-18,2339.76953125,2428.0627211084907,2327.0160704926625,2355.466098335954,184200
2015-02-19,2368.219482421875,2392.7453676996493,2361.3522345440983,2388.8212260552054,104500
2015-02-20,2459.455810546875,2501.6403338231075,2383.9160828196673,2384.8971182446962,293700
