Price,Close,High,Low,Open,Volume
Ticker,8850.T,8850.T,8850.T,8850.T,8850.T
Date,,,,,
2005-01-03,332.8453674316406,332.8453674316406,332.8453674316406,332.8453674316406,0
2005-01-04,343.9402770996094,343.9402770996094,332.8454294512349,332.8454294512349,5000
2005-01-05,341.6044616699219,344.5241579235109,341.6044616699219,341.6044616699219,0
2005-01-06,344.5242004394531,344.52420043945307,341.60450382555945,341.60450382555945,3000
2005-01-07,338.684814453125,338.684814453125,338.684814453125,338.684814453125,0
2005-01-10,338.684814453125,338.684814453125,338.684814453125,338.684814453125,0
2005-01-11,338.684814453125,341.6045111294451,338.684814453125,338.684814453125,10000
2005-01-12,344.5242004394531,344.52420043945307,341.60450382555945,341.60450382555945,4000
2005-01-13,341.6044616699219,344.5241579235109,341.6044616699219,344.5241579235109,3000
2005-01-14,338.97674560546875,338.97674560546875,338.97674560546875,338.97674560546875,1000
2005-01-17,338.97674560546875,338.97674560546875,338.97674560546875,338.97674560546875,2000
2005-01-18,360.58258056640625,360.58258056640625,344.5242470189145,344.5242470189145,35000
2005-01-19,369.3415832519531,394.1590018894362,364.962038786515,364.962038786515,56000
2005-01-20,379.56060791015625,385.4000018780048,351.8234865628756,370.8015169583834,24000
2005-01-21,382.4802551269531,382.4802551269531,382.4802551269531,382.4802551269531,1000
2005-01-24,362.0423583984375,362.0423583984375,362.0423583984375,362.0423583984375,0
2005-01-25,362.0423583984375,362.0423583984375,344.52417976625503,344.52417976625503,22000
2005-01-26,353.28338623046875,353.28338623046875,353.28338623046875,353.28338623046875,1000
2005-01-27,347.44384765625,347.44384765625,347.44384765625,347.44384765625,0
2005-01-28,347.44384765625,347.44384765625,347.44384765625,347.44384765625,0
2005-01-31,350.36358642578125,353.28328297932944,350.36358642578125,353.28328297932944,3000
2005-02-01,360.58258056640625,364.96212607935854,360.58258056640625,364.96212607935854,15000
2005-02-02,362.33428955078125,363.5021680021939,362.33428955078125,363.5021680021939,11000
2005-02-03,360.58258056640625,362.0424290707237,360.58258056640625,362.0424290707237,4000
2005-02-04,356.20294189453125,364.9620306296427,356.2029418945313,356.2029418945313,0
2005-02-07,353.28338623046875,364.96217585792226,353.28338623046875,364.96217585792226,6000
2005-02-08,364.9620666503906,364.9620666503906,364.9620666503906,364.9620666503906,12000
2005-02-09,370.80145263671875,370.80145263671875,364.96205968180976,364.96205968180976,11000
2005-02-10,353.28338623046875,353.28338623046875,353.28338623046875,353.28338623046875,0
2005-02-11,353.28338623046875,353.28338623046875,353.28338623046875,353.28338623046875,0
2005-02-14,366.4219970703125,366.4219970703125,359.12275410078433,364.96214847640687,8000
