Date,Open,High,Low,Close,Volume
2005-01-03 00:00:00+09:00,229.76809692382812,229.76809692382812,229.76809692382812,229.76809692382812,0
2005-01-04 00:00:00+09:00,236.73086547851562,236.73086547851562,236.73086547851562,236.73086547851562,2000
2005-01-05 00:00:00+09:00,236.73075029926915,237.42701721191406,236.73075029926915,237.42701721191406,5000
2005-01-06 00:00:00+09:00,240.2122017355526,240.90846898696,236.73086547851562,236.73086547851562,6000
2005-01-07 00:00:00+09:00,240.90838623046875,240.90838623046875,240.90838623046875,240.90838623046875,1000
2005-01-10 00:00:00+09:00,240.90838623046875,240.90838623046875,240.90838623046875,240.90838623046875,0
2005-01-11 00:00:00+09:00,242.30091692243303,243.69345092773438,242.30091692243303,243.69345092773438,3000
2005-01-12 00:00:00+09:00,243.69345092773438,243.69345092773438,243.69345092773438,243.69345092773438,3000
2005-01-13 00:00:00+09:00,243.69345092773438,243.69345092773438,243.69345092773438,243.69345092773438,4000
2005-01-14 00:00:00+09:00,243.69345092773438,243.69345092773438,243.69345092773438,243.69345092773438,1000
2005-01-17 00:00:00+09:00,246.47856806365536,248.56736948792363,246.47856806365536,247.17483520507812,4000
2005-01-18 00:00:00+09:00,249.26358032226562,249.26358032226562,249.26358032226562,249.26358032226562,1000
2005-01-19 00:00:00+09:00,250.65611267089844,250.65611267089844,250.65611267089844,250.65611267089844,3000
2005-01-20 00:00:00+09:00,255.52996826171875,255.52996826171875,255.52996826171875,255.52996826171875,1000
2005-01-21 00:00:00+09:00,255.52996826171875,255.52996826171875,255.52996826171875,255.52996826171875,3000
2005-01-24 00:00:00+09:00,256.2262268066406,257.61876064798105,256.2262268066406,256.2262268066406,4000
2005-01-25 00:00:00+09:00,254.13742065429688,254.13742065429688,254.13742065429688,254.13742065429688,1000
2005-01-26 00:00:00+09:00,250.65611143369932,251.35237840990405,231.16063609996715,231.85690307617188,10000
2005-01-27 00:00:00+09:00,242.99720764160156,242.99720764160156,242.99720764160156,242.99720764160156,1000
2005-01-28 00:00:00+09:00,236.7307809012277,243.69345092773438,236.7307809012277,243.69345092773438,2000
2005-01-31 00:00:00+09:00,247.1747453031484,247.1747453031484,238.12327575683594,238.12327575683594,2000
2005-02-01 00:00:00+09:00,239.5158606487772,240.2121276855469,239.5158606487772,240.21212768554688,2000
2005-02-02 00:00:00+09:00,238.12328181854664,254.13742065429688,238.12328181854664,254.13742065429688,5000
2005-02-03 00:00:00+09:00,256.9225158691406,256.9225158691406,256.9225158691406,256.9225158691406,1000
2005-02-04 00:00:00+09:00,254.13742065429688,254.13742065429688,254.13742065429688,254.13742065429688,1000
2005-02-07 00:00:00+09:00,254.83372497558594,254.83372497558594,254.83372497558594,254.83372497558594,1000
2005-02-08 00:00:00+09:00,259.0113830566406,259.0113830566406,259.0113830566406,259.0113830566406,1000
2005-02-09 00:00:00+09:00,254.83372497558594,254.83372497558594,254.83372497558594,254.83372497558594,1000
2005-02-10 00:00:00+09:00,257.61883544921875,257.61883544921875,257.61883544921875,257.61883544921875,1000
2005-02-11 00:00:00+09:00,257.61883544921875,257.61883544921875,257.61883544921875,257.61883544921875,0
2005-02-14 00:00:00+09:00,254.83372497558594,254.83372497558594,254.83372497558594,254.83372497558594,1000
2005-02-15 00:00:00+09:00,257.61883544921875,257.61883544921875,257.61883544921875,257.61883544921875,1000
2005-02-16 00:00:00+09:00,250.65611267089844,250.65611267089844,250.65611267089844,250.65611267089844,1000
2005-02-17 00:00:00+09:00,257.61883544921875,257.61883544921875,257.61883544921875,257.61883544921875,1000
2005-02-18 00:00:00+09:00,250.65611267089844,250.65611267089844,250.65611267089844,250.65611267089844,1000
2005-02-21 00:00:00+09:00,251.3524084776146,252.04867553710938,251.3524084776146,252.04867553710938,2000
2005-02-22 00:00:00+09:00,258.3150329589844,258.3150329589844,257.618766023785,258.3150329589844,3000
2005-02-23 00:00:00+09:00,256.9225158691406,256.9225158691406,256.9225158691406,256.9225158691406,1000
2005-02-24 00:00:00+09:00,252.04867553710938,252.04867553710938,252.04867553710938,252.04867553710938,1000
2005-02-25 00:00:00+09:00,252.04867553710938,252.04867553710938,252.04867553710938,252.04867553710938,1000
2005-02-28 00:00:00+09:00,248.56731333812522,252.04864825882726,248.56731333812522,249.26358032226562,5000
2005-03-01 00:00:00+09:00,249.95984730640603,249.95984730640603,249.26358032226562,249.26358032226562,4000
2005-03-02 00:00:00+09:00,247.17475159527504,254.13742065429688,247.17475159527504,254.13742065429688,9000
2005-03-03 00:00:00+09:00,251.35243134369722,257.61883544921875,251.35243134369722,257.61883544921875,9000
2005-03-04 00:00:00+09:00,259.01134547183386,265.27774899131373,259.01134547183386,264.58148193359375,10000
2005-03-07 00:00:00+09:00,268.06286092122394,268.06286092122394,261.1001892089844,261.1001892089844,4000
2005-03-08 00:00:00+09:00,268.06280517578125,268.06280517578125,268.06280517578125,268.06280517578125,1000
2005-03-09 00:00:00+09:00,254.13742065429688,254.13742065429688,254.13742065429688,254.13742065429688,1000
2005-03-10 00:00:00+09:00,267.3664855957031,267.3664855957031,267.3664855957031,267.3664855957031,1000
2005-03-11 00:00:00+09:00,259.70758056640625,259.70758056640625,259.70758056640625,259.70758056640625,1000
2005-03-14 00:00:00+09:00,261.10011451046205,261.10011451046205,259.70758056640625,259.70758056640625,2000
2005-03-15 00:00:00+09:00,261.1001892089844,261.1001892089844,261.1001892089844,261.1001892089844,1000
