Price,Close,High,Low,Open,Volume
Ticker,3041.T,3041.T,3041.T,3041.T,3041.T
Date,,,,,
2006-06-19,1006.9754638671875,1106.5457989137565,837.893762844712,943.1001545920301,2821200
2006-06-20,819.1068115234375,963.7655832833107,819.1068115234375,913.0410788999785,3499600
2006-06-21,725.1725463867188,779.6544216333893,725.1725463867188,772.1396802200554,1085600
2006-06-22,683.841552734375,736.4447490985576,648.1465266301082,734.5660635141226,2070800
2006-06-23,608.6942138671875,680.0842759874132,606.8155280219183,666.9334750705295,954000
2006-06-26,676.3268432617188,702.6284427218967,616.2089016384549,627.4810156928169,2076000
2006-06-27,630.0596923828125,690.2444988193797,622.5365915782417,677.0790724113806,996000
2006-06-28,630.0596923828125,652.6289947965253,601.8480643656717,611.2519403713853,456400
2006-06-29,645.1058349609375,680.8405605127095,620.6557595834092,648.8673850190188,835600
2006-06-30,630.0596923828125,662.0328708022388,626.298141980527,662.0328708022388,255200
2006-07-03,635.7020263671875,652.6290034006333,622.5365997856185,635.7020263671875,201200
2006-07-04,663.91357421875,712.8137241612075,637.5827242497344,643.2250492430949,899600
2006-07-05,671.4367065429688,710.9329833984375,645.1058553059896,652.6289556594122,614400
2006-07-06,669.5559692382812,694.0060467666455,654.5097676823648,667.6751940437916,217600
2006-07-07,658.2711791992188,686.4828011648996,645.1057556152344,686.4828011648996,128000
2006-07-10,750.4293823242188,752.310157718515,688.3637943124413,695.8868958896264,960000
2006-07-11,846.3487548828125,846.3487548828124,784.2831795247396,799.329379611545,1464400
2006-07-12,752.3101806640625,940.3877258300781,752.3101806640625,912.1760940551758,2360000
2006-07-13,682.7215576171875,733.5024999192924,677.0792306947315,724.0986217151989,493600
2006-07-14,686.4830322265625,763.5948248876284,663.91372705747,667.6752779189854,1130400
2006-07-17,686.4830322265625,686.4830322265625,686.4830322265625,686.4830322265625,0
2006-07-18,705.2907104492188,757.9524168294271,678.9598572591146,705.2907104492188,1127200
2006-07-19,663.91357421875,744.7868991235836,663.91357421875,731.6214741390758,273200
2006-07-20,697.767578125,729.7407555592991,684.6021521226415,692.1252526954178,462800
2006-07-21,675.1982421875,686.4828924747562,667.6751419959959,678.9597922832521,103200
2006-07-24,682.7215576171875,705.2908653070119,641.3444935191761,667.6753524906379,134400
2006-07-25,682.7215576171875,714.6947435111055,682.7215576171875,703.4100896661932,100000
2006-07-26,669.5559692382812,688.3637211831767,667.6751940437916,688.3637211831767,40000
2006-07-27,656.390625,667.6752775787966,648.8675232808023,660.1521758595989,40000
2006-07-28,662.0328369140625,673.3174875432794,646.9866360751065,662.0328369140625,40800
2006-07-31,660.1521606445312,675.1983637361445,658.2713852580796,671.4368129632412,46400
