Price,Close,High,Low,Open,Volume
Ticker,6988.T,6988.T,6988.T,6988.T,6988.T
Date,,,,,
2005-01-03,707.4948120117188,707.4948120117188,707.4948120117188,707.4948120117188,0
2005-01-04,710.0126342773438,716.3070725244833,699.9415330819204,702.4593083807763,1441500
2005-01-05,712.5302124023438,720.083536208729,708.7535504991512,711.2713251012796,2495500
2005-01-06,710.0126342773438,711.2715219267717,704.9770836796321,710.0126342773438,1752500
2005-01-07,698.6827392578125,713.789393079603,697.42385143933,711.2716174426379,2324500
2005-01-10,698.6827392578125,698.6827392578124,698.6827392578124,698.6827392578124,0
2005-01-11,710.0126342773438,710.0126342773438,694.9059824842087,699.9415330819204,3699000
2005-01-12,702.4590454101562,711.2712556572371,699.9412710538475,711.2712556572371,2278000
2005-01-13,689.870361328125,699.9414614934991,687.3525862867815,699.9414614934991,5267000
2005-01-14,688.6114501953125,699.9414374928588,684.8347877627971,693.6470001053331,6614000
2005-01-17,697.4238891601562,704.9772164795803,693.6472255004443,693.6472255004443,6778000
2005-01-18,706.2359619140625,710.0126248119986,703.7181866487717,710.0126248119986,2893000
2005-01-19,711.271484375,716.3070347068584,708.7537092090708,713.7892595409293,3230500
2005-01-20,701.2003173828125,711.2714170938763,697.4236549911636,711.2714170938763,2722000
2005-01-21,699.9412231445312,703.7178844204909,692.3879005926118,698.6823360525447,3897500
2005-01-24,698.6827392578125,701.2005148947775,691.1294123469172,698.6827392578124,2818000
2005-01-25,691.1292724609375,698.6825978430243,691.1292724609375,698.6825978430243,2014500
2005-01-26,694.9058227539062,702.4591469142748,694.9058227539062,697.4235974740291,2507000
2005-01-27,688.6114501953125,703.7180999253742,684.8347877627971,703.7180999253742,2366000
2005-01-28,677.281494140625,689.8703694963987,670.9870564627381,683.5759318185119,3422000
2005-01-31,693.64697265625,696.1647475116266,677.2814360963022,677.2814360963022,2850000
2005-02-01,707.4948120117188,713.7892498410044,701.2003741824329,706.2359244458615,5169000
2005-02-02,721.3427734375,723.8605492610166,703.7183426728839,708.7538943199171,6283000
2005-02-03,681.0580444335938,698.682467025221,665.9513964979133,696.1646923692741,14289000
2005-02-04,677.281494140625,682.3170442829345,665.9515063204286,682.3170442829345,6662000
2005-02-07,670.9871826171875,676.0227337062471,663.4338559835982,664.692743755863,8599500
2005-02-08,668.4694213867188,672.2460847843838,663.433870189832,670.9871969851621,7985000
2005-02-09,673.5048828125,676.0226580753505,669.7282199182243,670.9871075496496,3631500
2005-02-10,678.5401611328125,678.5401611328125,672.2457255007827,673.5046126271886,1639000
2005-02-11,678.5401611328125,678.5401611328125,678.5401611328125,678.5401611328125,0
2005-02-14,691.1292724609375,694.9059351519809,688.6114973335752,691.1292724609375,3913500
2005-02-15,702.4590454101562,702.4590454101564,692.3879479849211,696.1646095193843,3433500
2005-02-16,707.4948120117188,707.4948120117188,696.1648239190043,699.9414866165758,3525500
2005-02-17,692.3881225585938,703.7181100186435,688.6114600719105,703.7181100186435,3540500
2005-02-18,701.2003173828125,702.4592048466955,691.1292176717487,697.4236549911636,2443500
2005-02-21,702.4590454101562,708.7534813009283,702.4590454101564,708.7534813009283,1957000
2005-02-22,704.9768676757812,707.4946422031948,701.200205884661,706.2357549394881,1341500
2005-02-23,694.9058227539062,699.9413721941519,692.3880480337833,699.9413721941519,1677000
2005-02-24,698.6827392578125,702.45940271326,696.1649636208474,699.9416270762949,1808000
2005-02-25,717.5657958984375,720.083570620888,703.7180349249588,704.9769222861842,4507500
2005-02-28,718.8248291015625,720.0837167182027,712.5303910183615,717.5659414849223,2208000
2005-03-01,721.3427734375,723.8605492610166,715.0483338787085,721.3427734375,1744000
2005-03-02,727.636962890625,731.4136253277735,721.3425254953773,722.6014129744268,2541500
2005-03-03,738.9668579101562,740.2257452319793,727.6368720137483,730.1546466573946,3360500
2005-03-04,732.672607421875,736.44927034673,728.89594449702,736.44927034673,2919000
2005-03-07,738.9668579101562,740.2257452319793,731.4135339792176,735.1901959446869,2678500
2005-03-08,741.4849243164062,741.4849243164062,731.4138217790018,736.4493730477041,2534000
2005-03-09,737.7080078125,737.7080078125,728.895796115081,733.9313456564632,2611000
2005-03-10,726.3782958984375,735.1905109266681,721.3427444537343,735.1905109266681,4651000
2005-03-11,733.931396484375,740.2258338470198,733.931396484375,738.9669463744908,4730500
2005-03-14,730.1547241210938,733.9313864872373,720.0836244780442,730.1547241210938,2815000
2005-03-15,732.672607421875,735.1903827051117,727.6370568554016,728.89594449702,2435500
2005-03-16,712.5302124023438,717.5657616066006,702.4591139938301,707.494663198087,7192000
2005-03-17,701.2003173828125,713.7891920216422,701.2003173828125,707.4947547022273,4263500
2005-03-18,713.789306640625,718.8248573047564,711.2715313085592,713.789306640625,2450000
2005-03-21,713.789306640625,713.789306640625,713.789306640625,713.789306640625,0
2005-03-22,699.9412231445312,717.5656424323431,699.9412231445312,717.5656424323431,2875500
2005-03-23,697.4238891601562,698.682777046727,686.0938981810201,694.9061133870149,3905000
2005-03-24,694.9058227539062,710.0124710746434,691.1291606737219,707.4946963545204,2428500
